"id","Title","Genres","Rating_average","Rating_Count","Production_companies","img","Actor","Actress","url"
"1","Heropanti","Action","5.2","9500","Nandiadwala Grandson Entertaintment","heropanti.jpg","Tiger Shroff","Kriti Sanon","https://www.imdb.com/title/tt3142232"
"2","Yeh Jawaani Hai Deewani","Romance","7.2","44000","Dharma Productions","yjhd.jpg","Ranbir Kapoor","Deepika Padukone","https://www.imdb.com/title/tt2178470"
"3","Tamasha","RomCom","7.3","27000","Nandiadwala Grandson Entertaintment","tamasha.jpg","Ranbir Kapoor","Deepika Padukone","https://www.imdb.com/title/tt3148502"
"4","Raabta","RomanceFantasy","4.7","7700","T-Series","raabta.jpg","Sushant Singh Rajput","Kriti Sanon","https://www.imdb.com/title/tt5542802"
"5","Kedarnath","Romance","6.7","14000","RSPV","kedarnath.jpg","Sushant Singh Rajput","Sara Ali Khan","https://www.imdb.com/title/tt7027278"
"6","Uri: The Surgical Strike","Action","8.2","59000","RSPV","uri.jpg","Vicky Kaushal","","https://www.imdb.com/title/tt8291224"
"7","Shershah","Action","8.4","117000","Dharma Productions","sheershah.jpg","Sidhart Malhotra","Kiara Advani","https://www.imdb.com/title/tt10295212"
"8","M.S.Dhoni: The Untold Story","Sport","7.9","54000","Fox Star Studios","msd.jpg","Sushant Singh Rajput","Kiara Advani","https://www.imdb.com/title/tt4169250"
"9","Dangal","Sport","8.3","183000","Aamir Khan Productions","dangal.jpg","Aamir Khan","Fatima Shaikh","https://www.imdb.com/title/tt5074352"
"10","3 Idiots","Comedy","8.4","387000","Vinod Chopra Productions","idiots.jpg","Aamir Khan","Kareena Kapoor","https://www.imdb.com/title/tt1187043"
"11","PK","Comedy","8.1","180000","Vinod Chopra Productions","pk.jpg","Aamir Khan","Anushka Sharma","https://www.imdb.com/title/tt2338151"
"12","Andhadhun","Comedy","8.2","89000","Viacom18 Studios","andhadhund.jpg","Ayushmann Khurrana","Tabu","https://www.imdb.com/title/tt8108198"
"13","Badhaai Ho","Comedy","8","34000","Junglee Pictures","badhaai.jpg","Ayushmann Khurrana","Sanya Malhotra","https://www.imdb.com/title/tt7725596"
"14","Stree","HorrorComedy","7.5","33000","Maddock Films","stree.jpg","Rajkummar Rao","Shraddha Kapoor","https://www.imdb.com/title/tt8108202"
"15","Luka Chuppi","RomCom","6.3","11000","Maddock Films","luka.jpg","Kartik Aryan","Kriti Sanon","https://www.imdb.com/title/tt8908002"
"16","Sonu Ke Titu Ki Sweety","RomCom","7.1","22000","T-Series","sonu.jpg","Kartik Aryan","Nushrratt Bharuccha","https://www.imdb.com/title/tt7581902"
